2025/05/22 18:57:35 [warn] 21912#16860: the "listen ... http2" directive is deprecated, use the "http2" directive instead in R:\LoadBalancer testing\Nginx\Ngnix\nginx-1.26.0/conf/nginx.conf:14
2025/05/22 18:57:35 [warn] 24776#24356: the "listen ... http2" directive is deprecated, use the "http2" directive instead in R:\LoadBalancer testing\Nginx\Ngnix\nginx-1.26.0/conf/nginx.conf:14
2025/05/22 18:58:27 [warn] 8708#18152: the "listen ... http2" directive is deprecated, use the "http2" directive instead in R:\LoadBalancer testing\Nginx\Ngnix\nginx-1.26.0/conf/nginx.conf:14
2025/05/22 18:58:27 [notice] 8708#18152: signal process started
2025/05/26 10:15:44 [warn] 14872#4468: the "listen ... http2" directive is deprecated, use the "http2" directive instead in R:\LoadBalancer testing\Nginx\Ngnix\nginx-1.26.0/conf/nginx.conf:14
2025/05/26 10:15:44 [warn] 2200#24564: the "listen ... http2" directive is deprecated, use the "http2" directive instead in R:\LoadBalancer testing\Nginx\Ngnix\nginx-1.26.0/conf/nginx.conf:14
2025/05/26 10:21:38 [error] 2200#19312: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /EmployeeService/GetEmployeeById HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 10:21:51 [error] 2200#19312: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /EmployeeService/GetAllEmployees HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 10:22:34 [error] 2200#19312: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /EmployeeService/GetEmployeesBySalary HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 10:22:56 [error] 2200#19312: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /EmployeeService/GetEmployeesBySalary HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 10:23:22 [error] 2200#19312: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /EmployeeService/GetEmployeesByDistrict HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 10:24:35 [error] 2200#19312: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /EmployeeService/GetEmployeeNamesAndRolesByBranch HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 10:24:58 [error] 2200#19312: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/ListFiles HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 10:27:17 [error] 2200#19312: *17 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 10:27:45 [error] 2200#19312: *17 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 10:41:54 [error] 2200#19312: *35 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/ListFiles HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 10:44:11 [error] 2200#19312: *45 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 10:44:27 [error] 2200#19312: *45 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/ResolveConflict HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 10:44:44 [error] 2200#19312: *45 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/ListFiles HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 11:16:40 [error] 2200#19312: *81 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/ListFiles HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 11:16:54 [error] 2200#19312: *81 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 11:22:39 [error] 2200#19312: *87 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 11:22:41 [error] 2200#19312: *87 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50051", host: "10.92.56.70:50050"
2025/05/26 11:24:29 [error] 2200#19312: *90 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 11:24:39 [error] 2200#19312: *90 no live upstreams while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/ResolveConflict HTTP/2.0", upstream: "grpc://grpcservers", host: "10.92.56.70:50050"
2025/05/26 11:25:24 [error] 2200#19312: *90 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/ListFiles HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 11:25:38 [error] 2200#19312: *90 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 12:10:22 [error] 2200#19312: *98 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/ListFiles HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 12:10:36 [error] 2200#19312: *98 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/ResolveConflict HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 12:11:30 [error] 2200#19312: *98 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while reading upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50051", host: "10.92.56.70:50050"
2025/05/26 12:11:53 [error] 2200#19312: *98 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 12:12:53 [error] 2200#19312: *98 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while reading upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50051", host: "10.92.56.70:50050"
2025/05/26 12:25:14 [error] 2200#19312: *119 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/ListFiles HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 12:25:44 [error] 2200#19312: *119 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 12:26:50 [error] 2200#19312: *119 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/ResolveConflict HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 12:27:12 [error] 2200#19312: *119 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 12:27:28 [error] 2200#19312: *119 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/ResolveConflict HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
2025/05/26 12:28:09 [error] 2200#19312: *119 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 10.92.56.70, server: , request: "POST /FileTransferService/UploadFile HTTP/2.0", upstream: "grpc://10.92.56.70:50052", host: "10.92.56.70:50050"
